training_iteration,training_iteration_time_s,cumulative_training_hours
1,14.212487,0.003947913055555556
2,14.025461,0.007843874444444444
3,13.975669,0.011726004722222221
4,13.933166,0.015596328611111111
5,14.022465,0.019491457777777776
6,13.983197,0.023375679166666666
7,13.965049,0.027254859444444442
8,13.972372,0.03113607388888889
9,13.954494,0.03501232222222222
10,13.928245,0.038881279166666664
11,13.881064,0.04273713027777778
12,13.90062,0.04659841361111111
13,13.949806,0.05047335972222222
14,13.957902,0.054350554722222215
15,13.919188,0.058216995833333327
16,13.929415,0.062086277777777775
17,13.936607,0.0659575575
18,13.926105,0.06982592
19,13.930622,0.07369553722222223
20,13.951429000000001,0.07757093416666667
21,13.994626,0.08145833027777778
22,13.980803,0.08534188666666667
23,13.944085,0.0892152436111111
24,14.013992,0.09310801916666665
25,14.001477999999999,0.0969973186111111
26,14.003296,0.10088712305555554
27,14.000816,0.1047762386111111
28,13.991914000000001,0.10866288138888887
29,14.018807,0.11255699444444442
30,14.015063,0.11645006749999998
31,13.988515999999999,0.12033576638888888
32,13.979385,0.12421892888888886
33,13.969605,0.1280993747222222
34,13.891712,0.13195818361111109
35,13.902607,0.13582001888888887
36,13.928554,0.13968906166666664
37,13.958252,0.14356635388888886
38,13.959871999999999,0.1474440961111111
39,13.924935,0.1513121336111111
40,13.934736000000001,0.1551828936111111
41,13.923167,0.15905044000000002
42,13.925571,0.16291865416666668
43,13.922868000000001,0.1667861175
44,13.949503,0.17066097944444447
45,13.978565,0.17454391416666667
46,13.957435,0.17842097944444446
47,13.926661,0.18228949638888892
48,13.927099,0.186158135
49,13.923048000000001,0.19002564833333335
50,13.915009,0.19389092861111115
51,13.91226,0.1977554452777778
52,13.920111,0.2016221427777778
53,13.947274,0.20549638555555558
54,13.940245999999998,0.20936867611111112
55,13.912396000000001,0.2132332305555556
56,13.896502,0.21709337000000006
57,13.888917,0.22095140250000006
58,13.901219999999999,0.22481285250000005
59,13.922346,0.22868017083333336
60,13.930852999999999,0.23254985222222224
61,13.98193,0.23643372166666668
62,13.971577,0.2403147152777778
