training_iteration,CTDE_MAPPO,GNN_DRL
1,,0.7692307692307693
2,,0.8014705882352942
8,0.68,0.605
9,,0.52
10,,0.435
12,,0.365
17,,0.215
28,,0.03
29,,0.055
34,0.135,0.03
42,,0.06
44,,0.08
45,,0.075
47,,0.075
48,,0.07
49,,0.065
53,,0.045
59,,0.055
61,,0.145
62,,0.175
65,,0.11
68,,0.10000000000000002
74,,0.11000000000000001
75,0.07333333333333332,0.105
78,0.07666666666666665,0.10666666666666666
79,,0.11000000000000001
86,,0.11
87,,0.11
89,,0.10833333333333334
95,,0.11500000000000002
96,,0.11
100,,0.10333333333333332
103,,0.10833333333333334
105,,0.10833333333333332
107,,0.10833333333333332
110,,0.10833333333333334
113,,0.08333333333333331
120,,0.11666666666666664
121,,0.12666666666666665
123,,0.15000000000000002
125,,0.20333333333333328
134,0.08666666666666666,0.13333333333333333
137,,0.10333333333333333
144,,0.11666666666666665
148,0.02333333333333333,0.06333333333333332
150,0.09,0.07
151,0.09666666666666664,0.08
154,,0.09
156,,0.10666666666666666
158,,0.10333333333333332
162,,0.08833333333333332
163,,0.085
167,,0.08833333333333332
168,,0.085
171,,0.07749999999999999
173,,0.07083333333333332
175,,0.0725
181,,0.07833333333333332
183,,0.07833333333333332
186,,0.0575
194,,0.055
195,,0.055
196,0.03,0.055
199,,0.055
202,,0.0575
204,,0.06
214,0.0725,0.06
215,,0.0725
216,,0.0725
218,,0.08
220,,0.0825
226,,0.115
229,0.1425,0.14
233,,0.1575
234,0.205,0.175
235,,0.1825
237,,0.1875
239,,0.1925
241,,0.2075
242,,0.2075
243,,0.2125
248,,0.22
249,,0.22
252,0.3525,0.22
254,,0.21
260,,0.195
262,,0.18
266,,0.18
270,,0.1765
271,,0.176
273,,0.17600000000000002
274,0.32666666666666666,0.179
275,0.32166666666666666,0.16849999999999998
280,,0.177
283,,0.1675
284,,0.16699999999999998
293,,0.1505
303,,0.1465
312,,0.14949999999999997
317,,0.14949999999999997
318,,0.14899999999999997
321,,0.144
322,,0.146
323,,0.15
324,,0.14999999999999997
325,,0.14999999999999997
326,,0.15199999999999997
328,,0.14799999999999996
331,,0.15199999999999997
333,,0.15999999999999998
338,,0.19399999999999995
341,0.172,0.22199999999999995
342,,0.22599999999999995
345,,0.24
353,,0.25
354,,0.255
355,,0.2546666666666667
359,,0.25300000000000006
361,,0.2506666666666667
363,,0.243
365,,0.2426666666666667
370,,0.23
371,0.32966666666666666,0.22133333333333335
376,,0.2026666666666667
390,,0.20833333333333331
391,,0.20799999999999996
397,0.31466666666666665,0.21233333333333335
399,,0.21066666666666664
402,,0.21666666666666667
405,,0.21666666666666667
406,,0.22000000000000003
407,,0.22166666666666668
408,,0.2083333333333334
411,,0.21000000000000008
414,,0.21499999999999997
422,,0.20500000000000004
426,,0.20833333333333331
430,,0.18333333333333332
431,,0.18166666666666667
432,,0.18000000000000005
442,,0.16833333333333336
444,,0.15999999999999998
445,,0.16833333333333328
448,,0.17
451,,0.17
452,,0.17000000000000004
456,,0.16833333333333336
457,,0.16833333333333336
458,,0.16666666666666669
463,,0.15999999999999998
472,0.2956666666666667,0.15952380952380954
473,,0.15857142857142856
480,,0.15904761904761902
482,,0.1614285714285714
489,,0.15928571428571425
491,0.32166666666666666,0.15690476190476188
496,,0.15690476190476185
498,,0.149047619047619
504,,0.1445238095238095
505,0.32699999999999996,0.14380952380952375
506,,0.14880952380952378
516,0.347,0.16333333333333327
523,,0.169047619047619
527,,0.17714285714285707
531,0.30733333333333335,0.18
532,,0.18
535,,0.1842857142857142
540,,0.21714285714285708
542,,0.22142857142857136
543,,0.22142857142857136
544,,0.22142857142857136
548,,0.2285714285714285
549,,0.23285714285714282
551,,0.23428571428571424
554,,0.24249999999999994
556,0.2053333333333333,0.23964285714285713
560,0.20199999999999999,0.23374999999999996
568,,0.22678571428571426
569,,0.22660714285714284
571,,0.22339285714285712
574,,0.23928571428571424
581,,0.23410714285714285
584,,0.2319642857142857
587,,0.2282142857142857
590,,0.2276785714285714
594,,0.2175
596,0.17928571428571424,0.2144642857142857
600,,0.21571428571428572
601,,0.2125
602,,0.20821428571428569
603,,0.2080357142857143
613,,0.21928571428571428
614,,0.21642857142857141
615,,0.22
621,,0.21625
628,,0.19625
630,,0.1975
631,0.24095238095238092,0.19875
634,,0.2125
636,,0.22
637,,0.22
640,,0.21125
641,0.2547619047619047,0.21375
644,,0.21625
648,,0.21910714285714283
651,,0.22035714285714283
652,,0.22035714285714283
657,,0.22785714285714284
660,,0.22910714285714284
662,,0.23285714285714285
665,,0.23660714285714285
672,,0.23035714285714284
678,,0.24882936507936507
681,,0.24730158730158727
685,,0.2509126984126984
690,0.28125,0.25063492063492065
693,,0.24813492063492068
699,,0.24765873015873016
700,,0.24751984126984128
701,,0.24696428571428566
703,,0.24140873015873016
704,,0.2494642857142857
707,,0.2664682539682539
708,0.32630952380952377,0.2664682539682539
710,,0.27704365079365084
711,,0.2850992063492063
714,,0.29593253968253963
717,,0.29954365079365075
720,,0.29218253968253965
722,,0.2957936507936508
726,,0.30023809523809525
730,,0.3325992063492063
731,,0.3335714285714285
751,,0.42371031746031745
752,,0.4303769841269841
758,,0.45196428571428576
761,,0.4530753968253968
763,,0.4519642857142857
766,,0.4575198412698412
767,,0.4384722222222222
768,0.3618452380952381,0.4340277777777778
772,,0.44069444444444444
774,,0.4406944444444445
775,,0.4406944444444445
776,0.3630952380952381,0.4484722222222222
781,,0.45736111111111116
789,0.34910714285714284,0.41418650793650796
790,,0.4075198412698413
792,,0.39085317460317465
794,,0.3930753968253968
798,,0.3819642857142857
803,,0.35418650793650797
807,0.33,0.3401587301587301
808,,0.32904761904761914
810,,0.3246031746031746
816,,0.32724206349206364
818,,0.31946428571428576
819,,0.3194642857142857
824,,0.3183531746031746
827,,0.31835317460317464
831,,0.3008531746031746
840,,0.2964087301587302
841,,0.28418650793650796
842,,0.2808531746031746
846,,0.2895833333333333
847,,0.29291666666666666
848,,0.29291666666666666
859,,0.2797222222222222
864,0.3213095238095238,0.29305555555555557
866,,0.29305555555555557
868,,0.2897222222222222
873,0.3300595238095238,0.28305555555555556
877,,0.2816666666666667
881,,0.28055555555555556
883,,0.2841111111111111
894,,0.2982777777777778
895,,0.2937222222222223
898,,0.3049444444444445
901,,0.2976111111111111
902,,0.2993888888888889
910,,0.32569444444444445
917,,0.30725
919,,0.31080555555555556
922,,0.3139166666666667
923,,0.3101388888888889
931,0.2775,0.3268888888888889
933,,0.33577777777777784
939,,0.3265555555555556
942,0.27017857142857143,0.32900000000000007
943,,0.32100000000000006
945,,0.31642857142857145
947,,0.3034285714285715
949,0.29642857142857143,0.2994285714285715
957,,0.2844285714285715
960,,0.27442857142857147
966,,0.27142857142857146
969,,0.27142857142857146
975,0.36267857142857146,0.26242857142857146
978,,0.26542857142857146
980,,0.26542857142857146
981,0.3822619047619048,0.25742857142857145
982,,0.2575396825396826
984,,0.25428968253968254
986,,0.252734126984127
987,,0.24973412698412698
993,,0.24173412698412705
995,,0.24473412698412697
996,,0.24646139971139977
998,,0.2612146464646464
999,,0.26185101010101003
1001,,0.2673055555555556
1005,,0.2749419191919192
1016,0.5661111111111111,0.29232575757575757
1018,,0.28905303030303026
1019,,0.28750757575757574
1020,,0.28750757575757574
1021,,0.2989621212121212
1025,,0.29841666666666666
1032,0.6033333333333334,0.321780303030303
1033,,0.32232575757575754
1036,,0.32648737373737374
1039,,0.3216464646464647
1041,,0.3186565656565657
1042,,0.31556565656565655
1043,,0.3284747474747475
1046,,0.32765656565656565
1049,,0.3422929292929293
1051,0.5993055555555555,0.3361111111111111
1054,0.5970833333333332,0.32638383838383833
1059,0.6081944444444445,0.3365656565656565
1060,,0.3339393939393939
1062,,0.3526666666666667
1069,,0.36428282828282826
1075,,0.3688282828282828
1077,,0.36537373737373735
1080,,0.3890101010101009
1083,,0.3926464646464647
1084,,0.39082828282828286
1085,,0.39810101010101007
1087,,0.39901010101010104
1088,,0.39537373737373743
1092,,0.4090101010101011
1094,,0.41810101010101014
1097,,0.43282828282828284
1100,,0.43373737373737375
1104,,0.4273737373737373
1107,,0.43010101010101004
1108,,0.4219191919191918
1115,,0.4273737373737373
1116,,0.42636363636363633
1119,0.6295039682539683,0.4103636363636364
1120,,0.40581818181818186
1122,,0.39672727272727265
1124,,0.3921818181818182
1126,,0.4030909090909091
1133,,0.39036363636363647
1134,,0.3865454545454546
1137,,0.37745454545454543
1140,,0.37654545454545457
1143,,0.356090909090909
1146,0.5720833333333333,0.35427272727272724
1163,,0.3159090909090909
1165,0.5201388888888888,0.3204545454545454
1166,,0.3204545454545454
1167,,0.3204545454545454
1172,,0.30318181818181816
1173,,0.30318181818181816
1174,,0.30318181818181816
1179,,0.28681818181818175
1182,,0.26954545454545453
1183,,0.2677272727272727
1186,,0.2568181818181818
1187,,0.2568181818181818
1189,,0.2531818181818182
1195,,0.25045454545454543
1198,,0.2531818181818182
1199,,0.25409090909090903
1210,,0.2590909090909091
1214,0.5186111111111111,0.24727272727272723
1216,,0.24454545454545454
1217,,0.24272727272727274
1220,,0.24
1223,,0.24545454545454548
1227,,0.2545454545454545
1229,,0.24818181818181817
1231,0.5215277777777777,0.264040404040404
1233,,0.2685858585858586
1235,0.5062500000000001,0.2904040404040404
1246,0.4931944444444445,0.3149494949494949
1250,,0.33494949494949494
1251,,0.33494949494949494
1252,,0.33494949494949494
1253,,0.33494949494949494
1254,,0.33313131313131317
1255,,0.3304040404040404
1257,,0.3304040404040404
1258,,0.32585858585858596
1267,,0.3085858585858586
1270,,0.3068585858585859
1271,,0.315040404040404
1272,0.5086904761904762,0.325040404040404
1277,,0.33685858585858575
1289,,0.35190909090909095
1292,,0.36190909090909096
1293,,0.371
1294,,0.371
1299,,0.35654545454545455
1300,0.5468849206349207,0.35472727272727267
1302,,0.35200000000000004
1304,,0.36200000000000004
1306,,0.3565454545454545
1310,,0.3529090909090909
1312,,0.35654545454545455
1313,,0.3529090909090909
1314,,0.3456363636363637
1318,,0.35018181818181815
1320,,0.35200000000000004
1325,,0.38109090909090904
1328,,0.3764545454545455
1329,,0.38918181818181813
1339,,0.3873636363636364
1340,0.43126984126984125,0.391
1341,,0.38281818181818184
1350,,0.36118181818181816
1354,,0.3738181818181818
1360,,0.3865454545454546
1364,,0.3783636363636363
1366,,0.382909090909091
1367,,0.382
1371,0.37250000000000005,0.4047272727272727
1372,,0.4083636363636364
1378,,0.41199999999999987
1380,,0.4301818181818181
1381,,0.421090909090909
1382,0.3947222222222222,0.421090909090909
1389,,0.41472727272727267
1390,,0.40745454545454557
1396,0.4383333333333333,0.4001818181818183
1398,,0.3983636363636364
1400,0.4561111111111111,0.4101818181818182
1402,,0.4174545454545454
1406,,0.42636363636363633
1411,,0.44090909090909086
1416,,0.4309090909090909
1417,,0.43272727272727274
1419,,0.4454545454545455
1420,,0.44727272727272727
1422,,0.459090909090909
1426,,0.45090909090909087
1427,,0.45090909090909087
1431,,0.46090909090909093
1433,,0.4518181818181819
1434,,0.4445454545454545
1435,,0.4354545454545455
1440,,0.42090909090909095
1448,,0.4221212121212121
1453,,0.4351212121212121
1456,,0.4314848484848484
1457,0.3786111111111111,0.4297575757575758
1458,,0.4224848484848484
1462,,0.407030303030303
1465,,0.41703030303030286
1467,,0.407030303030303
1468,,0.407030303030303
1469,,0.407030303030303
1473,,0.4079393939393939
1474,,0.40884848484848485
1480,,0.4133939393939394
1483,,0.376121212121212
1489,,0.37430303030303025
1502,,0.3867272727272728
1515,,0.4048181818181819
1516,,0.4048181818181819
1517,,0.39836363636363636
1519,,0.4074545454545454
1520,,0.4074545454545454
1522,,0.4110909090909091
1523,,0.40127272727272734
1524,,0.4021818181818182
1525,,0.394909090909091
1526,,0.3940000000000001
1528,0.3736111111111111,0.3885454545454546
1530,,0.3867272727272727
1535,,0.3867272727272727
1537,0.38138888888888883,0.38934090909090907
1543,,0.3877045454545454
1544,,0.3877045454545454
1546,0.40138888888888885,0.39043181818181816
1547,,0.39861363636363634
1552,,0.40043181818181817
1556,,0.3931590909090909
1559,0.40777777777777774,0.3831590909090909
1560,,0.3831590909090909
1564,0.3944444444444445,0.37770454545454546
1567,,0.3613409090909091
1571,,0.35952272727272727
1572,,0.3658863636363637
1577,,0.3620681818181818
1583,,0.38570454545454547
1585,,0.3911590909090909
1598,0.3484722222222223,
