training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
143,2.0,3.0,0.0,3.0,0.0
144,2.0,3.0,0.0,3.0,0.0
145,2.0,3.0,0.0,3.0,0.0
146,2.0,3.0,0.0,3.0,0.0
147,2.0,3.0,0.0,3.0,0.0
148,2.0,3.0,0.0,3.0,0.0
149,2.0,3.0,0.0,3.0,0.0
150,2.0,3.0,0.0,3.0,0.0
151,2.0,3.0,0.0,3.0,0.0
152,2.0,3.0,0.0,3.0,0.0
153,2.0,3.0,0.0,3.0,0.0
154,2.0,3.0,0.0,3.0,0.0
155,2.0,3.0,0.0,3.0,0.03
156,2.0,3.0,0.0,3.0,0.07
157,2.0,3.0,0.0,3.0,0.1
158,2.0,3.0,0.0,3.0,0.11
159,2.0,3.0,0.0,3.0,0.14
160,2.0,3.0,0.0,3.0,0.14
161,2.0,3.0,0.0,3.0,0.2
162,2.0,3.0,0.0,3.0,0.22
163,2.0,3.0,0.0,3.0,0.25
164,2.0,3.0,0.0,3.0,0.31
165,2.0,3.0,0.0,3.0,0.36
166,2.0,3.0,0.0,3.0,0.37
167,2.0,3.0,0.0,3.0,0.41
168,2.0,3.0,0.0,3.0,0.42
169,2.0,3.0,0.0,3.0,0.47
170,2.0,3.0,0.0,3.0,0.5
171,2.0,3.0,0.0,3.0,0.55
172,2.0,3.0,0.0,3.0,0.58
173,2.0,3.0,0.0,3.0,0.64
174,2.0,3.0,0.0,3.0,0.67
175,2.0,3.0,0.0,3.0,0.68
176,2.0,3.0,0.0,3.0,0.71
177,2.0,3.0,0.0,3.0,0.78
178,2.0,3.0,0.0,3.0,0.84
179,2.0,3.0,0.0,3.0,0.84
180,2.0,3.0,0.0,3.0,0.88
181,2.0,3.0,0.0,3.0,0.88
182,2.0,3.0,0.0,3.0,0.92
183,2.0,3.0,0.0,3.0,0.94
184,2.0,3.0,0.0,3.0,0.95
185,2.0,3.0,0.0,3.0,0.95
186,2.0,3.0,0.0,3.0,0.97
187,2.0,3.0,0.0,3.0,0.98
188,2.0,3.0,0.0,3.0,0.98
189,2.0,3.0,0.0,3.0,0.98
190,2.0,3.0,0.0,3.0,0.98
191,2.0,3.0,0.0,3.0,0.98
192,2.0,3.0,0.0,3.0,0.98
193,2.0,3.0,0.0,3.0,0.98
194,2.0,3.0,0.0,3.0,0.98
195,2.0,3.0,0.0,3.0,0.98
196,2.0,3.0,0.0,3.0,0.97
197,2.0,3.0,0.0,3.0,0.97
198,2.0,3.0,0.0,3.0,0.97
199,2.0,3.0,0.0,3.0,0.97
200,2.0,3.0,0.0,3.0,0.96
201,2.0,3.0,0.0,3.0,0.96
202,2.0,3.0,0.0,3.0,0.96
203,2.0,3.0,0.0,3.0,0.96
204,2.0,3.0,0.0,3.0,0.96
205,2.0,3.0,0.0,3.0,0.96
206,2.0,3.0,0.0,3.0,0.95
207,2.0,3.0,0.0,3.0,0.95
208,2.0,3.0,0.0,3.0,0.96
209,2.0,3.0,0.0,3.0,0.96
210,2.0,3.0,0.0,3.0,0.96
211,2.0,3.0,0.0,3.0,0.96
212,2.0,3.0,0.0,3.0,0.96
213,2.0,3.0,0.0,3.0,0.96
214,2.0,3.0,0.0,3.0,0.96
215,2.0,3.0,0.0,3.0,0.97
216,2.0,3.0,0.0,3.0,0.97
217,2.0,3.0,0.0,3.0,0.97
218,2.0,3.0,0.0,3.0,0.97
219,2.0,3.0,0.0,3.0,0.97
220,2.0,3.0,0.0,3.0,0.97
221,2.0,3.0,0.0,3.0,0.97
222,2.0,3.03,0.0,3.0,0.97
223,2.0,3.06,0.0,3.0,0.97
224,2.0,3.09,0.0,3.0,0.98
225,2.0,3.12,0.0,3.0,0.98
226,2.0,3.16,0.0,3.0,0.99
227,2.0,3.19,0.0,3.0,0.99
228,2.0,3.22,0.0,3.0,0.99
229,2.0,3.23,0.0,3.0,0.99
230,2.0,3.27,0.0,3.0,0.99
231,2.0,3.3,0.0,3.0,0.99
232,2.0,3.33,0.0,3.0,0.99
233,2.0,3.36,0.0,3.0,0.99
234,2.0,3.37,0.0,3.0,0.99
235,2.0,3.42,0.0,3.0,0.99
236,2.0,3.46,0.0,3.0,0.99
237,2.0,3.46,0.0,3.0,0.99
238,2.0,3.47,0.0,3.0,0.99
239,2.0,3.53,0.0,3.0,0.99
240,2.0,3.56,0.0,3.0,0.99
241,2.0,3.64,0.0,3.0,0.99
242,2.0,3.71,0.0,3.0,0.99
243,2.0,3.75,0.0,3.0,0.99
244,2.0,3.76,0.0,3.0,0.99
245,2.0,3.8,0.0,3.0,0.98
246,2.0,3.8,0.0,3.0,0.98
247,2.0,3.82,0.0,3.0,0.98
248,2.0,3.83,0.0,3.0,0.98
249,2.0,3.85,0.0,3.0,0.98
250,2.0,3.88,0.0,3.0,0.98
251,2.0,3.88,0.0,3.0,0.98
252,2.0,3.9,0.0,3.0,0.98
253,2.0,3.91,0.0,3.0,0.98
