training_iteration,proportion_missed
698,0.3076785714285714
699,0.3005357142857143
700,0.3
701,0.3020238095238095
702,0.3100595238095238
703,0.3100595238095238
704,0.31416666666666665
705,0.32148809523809524
706,0.31952380952380954
707,0.3339880952380952
708,0.32630952380952377
709,0.32648809523809524
710,0.33416666666666667
711,0.33416666666666667
712,0.3352380952380953
713,0.34416666666666673
714,0.3463095238095238
715,0.35845238095238097
716,0.3554166666666667
717,0.3613095238095238
718,0.35541666666666666
719,0.3561309523809523
720,0.35988095238095236
721,0.3636309523809524
722,0.36613095238095233
723,0.36095238095238086
724,0.3632738095238095
725,0.35702380952380947
726,0.3605952380952381
727,0.3693452380952381
728,0.3693452380952381
729,0.37416666666666665
730,0.3804166666666666
731,0.3754166666666666
732,0.37708333333333327
733,0.3758333333333333
734,0.38565476190476183
735,0.3756547619047619
736,0.3819047619047619
737,0.3819047619047619
738,0.3806547619047619
739,0.3794047619047619
740,0.3794047619047619
741,0.3744047619047619
742,0.3844047619047619
743,0.3919047619047619
744,0.3744047619047619
745,0.3694047619047619
746,0.3694047619047619
747,0.3669047619047619
748,0.3669047619047619
749,0.37273809523809526
750,0.36773809523809525
751,0.3664880952380953
752,0.36523809523809525
753,0.36648809523809517
754,0.3639880952380953
755,0.3605952380952381
756,0.3605952380952381
757,0.3618452380952381
758,0.3668452380952381
759,0.3705952380952381
760,0.3643452380952381
761,0.3693452380952381
762,0.3768452380952381
763,0.3743452380952381
764,0.3693452380952381
765,0.3643452380952381
766,0.3643452380952381
767,0.3618452380952381
768,0.3618452380952381
769,0.3705952380952381
770,0.3705952380952381
771,0.3705952380952381
772,0.3655952380952381
773,0.3668452380952381
774,0.3668452380952381
775,0.3668452380952381
776,0.3630952380952381
777,0.3618452380952381
778,0.3493452380952381
779,0.35309523809523813
780,0.3430952380952381
781,0.3480952380952381
782,0.3480952380952381
783,0.3455952380952381
784,0.3426785714285714
785,0.3501785714285714
786,0.34035714285714286
787,0.34160714285714283
788,0.33285714285714285
789,0.34910714285714284
790,0.34535714285714286
791,0.33785714285714286
792,0.33785714285714286
793,0.34660714285714284
794,0.34660714285714284
795,0.34660714285714284
796,0.35035714285714287
797,0.34910714285714284
798,0.35285714285714287
799,0.35285714285714287
800,0.35035714285714287
801,0.35660714285714284
802,0.35660714285714284
803,0.35535714285714287
804,0.34535714285714286
805,0.3425
806,0.335
807,0.33
808,0.33
809,0.32875
810,0.31875
811,0.32
812,0.32375
813,0.32625
814,0.32625
815,0.32125
816,0.31625
817,0.3125
818,0.31125
819,0.31125
820,0.305
821,0.3075
822,0.30875
823,0.31375
824,0.32125
825,0.32125
826,0.32125
827,0.3225
828,0.32125
829,0.3225
830,0.33125
831,0.32625
832,0.3225
833,0.3225
834,0.32375
835,0.32375
836,0.32125
837,0.32625
838,0.32625
839,0.31375
840,0.32589285714285715
841,0.3196428571428572
842,0.31464285714285717
843,0.31589285714285714
844,0.3196428571428572
845,0.31464285714285717
846,0.31089285714285714
847,0.30755952380952384
848,0.30755952380952384
849,0.3025595238095238
850,0.3000595238095238
851,0.3025595238095238
852,0.3050595238095238
853,0.3013095238095238
854,0.3088095238095238
855,0.3088095238095238
856,0.3175595238095238
857,0.3163095238095238
858,0.3188095238095238
859,0.3225595238095238
860,0.3250595238095238
861,0.3250595238095238
862,0.3200595238095238
863,0.3200595238095238
864,0.3213095238095238
865,0.3213095238095238
866,0.3213095238095238
867,0.32380952380952377
868,0.3250595238095238
869,0.3275595238095238
870,0.3338095238095238
871,0.3313095238095238
872,0.3338095238095238
873,0.3300595238095238
874,0.33041666666666664
875,0.32916666666666666
876,0.3216666666666667
877,0.30666666666666664
878,0.30666666666666664
879,0.30666666666666664
880,0.30666666666666664
881,0.29791666666666666
882,0.29791666666666666
883,0.29416666666666663
884,0.29166666666666663
885,0.2845238095238095
886,0.2832738095238095
887,0.2832738095238095
888,0.2832738095238095
889,0.28827380952380954
890,0.2870238095238095
891,0.2870238095238095
892,0.2870238095238095
893,0.29202380952380946
894,0.28910714285714284
895,0.29285714285714287
896,0.29410714285714284
897,0.29285714285714287
898,0.28660714285714284
899,0.28785714285714287
900,0.28785714285714287
901,0.27535714285714286
902,0.27660714285714283
903,0.26785714285714285
904,0.25535714285714284
905,0.26035714285714284
906,0.25535714285714284
907,0.25535714285714284
908,0.25785714285714284
909,0.25410714285714286
910,0.25035714285714283
911,0.24660714285714286
912,0.24785714285714286
913,0.24785714285714286
914,0.24910714285714286
915,0.25785714285714284
916,0.25785714285714284
917,0.25535714285714284
918,0.25035714285714283
919,0.24625
920,0.25
921,0.2525
922,0.24875
923,0.24625
924,0.24875
925,0.24875
926,0.2575
927,0.27
928,0.2775
929,0.28
930,0.27625
931,0.2775
932,0.27625
933,0.27625
934,0.27375
935,0.27375
936,0.26625
937,0.2689285714285714
938,0.2639285714285714
939,0.2664285714285714
940,0.2664285714285714
941,0.2639285714285714
942,0.27017857142857143
943,0.2664285714285714
944,0.2664285714285714
945,0.27017857142857143
946,0.27517857142857144
947,0.2901785714285714
948,0.2889285714285714
949,0.29642857142857143
950,0.29642857142857143
951,0.2976785714285714
952,0.29392857142857143
953,0.29392857142857143
954,0.2976785714285714
955,0.30226190476190473
956,0.3055952380952381
957,0.30684523809523806
958,0.30684523809523806
959,0.3080952380952381
960,0.3080952380952381
961,0.3136507936507936
962,0.3121230158730159
963,0.3076785714285714
964,0.3076785714285714
965,0.31240079365079365
966,0.32392857142857145
967,0.3222619047619048
968,0.3276785714285715
969,0.3414285714285714
970,0.34351190476190474
971,0.35017857142857145
972,0.35434523809523816
973,0.35865079365079366
974,0.36184523809523816
975,0.36267857142857146
976,0.3646230158730159
977,0.37323412698412706
978,0.3774007936507936
979,0.3774007936507936
980,0.3801785714285715
981,0.3822619047619048
982,0.37795634920634924
983,0.3822619047619048
984,0.3847619047619048
985,0.3847619047619048
986,0.3847619047619048
987,0.4103174603174604
988,0.4264285714285714
989,0.4264285714285714
990,0.44365079365079363
991,0.4519444444444444
992,0.4444444444444445
993,0.4597222222222222
994,0.46597222222222223
995,0.47458333333333336
996,0.4798611111111111
997,0.4958333333333333
998,0.49611111111111117
999,0.5027777777777778
1000,0.5041666666666667
1001,0.5041666666666667
1002,0.5088888888888888
1003,0.52
1004,0.5209722222222222
1005,0.5183333333333334
1006,0.5223611111111112
1007,0.5220833333333333
1008,0.5275
1009,0.5305555555555556
1010,0.5369444444444444
1011,0.533888888888889
1012,0.5354166666666668
1013,0.5383333333333333
1014,0.5394444444444444
1015,0.5454166666666667
1016,0.5661111111111111
1017,0.5693055555555556
1018,0.5626388888888888
1019,0.5715277777777777
1020,0.5715277777777777
1021,0.57125
1022,0.5768055555555555
1023,0.5745833333333333
1024,0.5879166666666665
1025,0.5868055555555555
1026,0.5923611111111111
1027,0.5845833333333332
1028,0.59
1029,0.5944444444444444
1030,0.5911111111111111
1031,0.6000000000000001
1032,0.6033333333333334
1033,0.6000000000000001
1034,0.6044444444444445
1035,0.60375
1036,0.60375
1037,0.60375
1038,0.6059722222222222
1039,0.6093055555555555
1040,0.6104166666666666
1041,0.6115277777777777
1042,0.6126388888888888
1043,0.6126388888888888
1044,0.6081944444444445
1045,0.6093055555555555
1046,0.6148611111111112
1047,0.6226388888888889
1048,0.61375
1049,0.6215277777777778
1050,0.6093055555555555
1051,0.5993055555555555
1052,0.6015277777777777
1053,0.5926388888888888
1054,0.5970833333333332
1055,0.5970833333333332
1056,0.6004166666666666
1057,0.6004166666666666
1058,0.6070833333333333
1059,0.6081944444444445
1060,0.6093055555555555
1061,0.6226388888888889
1062,0.6226388888888889
1063,0.6170833333333333
1064,0.6248611111111111
1065,0.6248611111111111
1066,0.6348611111111111
1067,0.6348611111111111
1068,0.6248611111111111
1069,0.6204166666666666
1070,0.6170833333333333
1071,0.6127777777777779
1072,0.6161111111111112
1073,0.6272222222222222
1074,0.6238888888888888
1075,0.6227777777777778
1076,0.6194444444444445
1077,0.6194444444444445
1078,0.6223015873015872
1079,0.6234126984126983
1080,0.6211904761904762
1081,0.6211904761904762
1082,0.6256349206349207
1083,0.6267460317460317
1084,0.6256349206349207
1085,0.618968253968254
1086,0.6143650793650793
1087,0.6143650793650793
1088,0.6143650793650793
1089,0.6143650793650793
1090,0.6221428571428571
1091,0.6254761904761904
1092,0.6254761904761904
1093,0.6243650793650793
1094,0.6376984126984127
1095,0.6388095238095238
1096,0.6406150793650793
1097,0.6383928571428572
1098,0.6450595238095238
1099,0.6517261904761905
1100,0.6428373015873017
1101,0.6350595238095237
1102,0.6306150793650793
1103,0.6328373015873016
1104,0.6406150793650792
1105,0.6428373015873015
1106,0.637281746031746
1107,0.6339484126984126
1108,0.6283928571428572
1109,0.6283928571428572
1110,0.6317261904761905
1111,0.6295039682539681
1112,0.6395039682539682
1113,0.6417261904761904
1114,0.6395039682539683
1115,0.6417261904761905
1116,0.6428373015873015
1117,0.6361706349206349
1118,0.626170634920635
1119,0.6295039682539683
1120,0.6328373015873016
1121,0.6153373015873016
1122,0.6164484126984128
1123,0.6120039682539683
1124,0.6142261904761904
1125,0.6142261904761904
1126,0.6108928571428571
1127,0.5931150793650795
1128,0.5986706349206348
1129,0.5974206349206349
1130,0.5951984126984127
1131,0.5951984126984127
1132,0.5918650793650795
1133,0.5907539682539683
1134,0.5863095238095238
1135,0.5863095238095238
1136,0.5812301587301587
1137,0.5790079365079365
1138,0.5790079365079365
1139,0.5856746031746032
1140,0.5834523809523808
1141,0.5797023809523809
1142,0.5852579365079364
1143,0.5852579365079364
1144,0.5830357142857142
1145,0.5674801587301588
1146,0.5720833333333333
1147,0.5665277777777777
1148,0.5565277777777777
1149,0.5490277777777777
1150,0.5468055555555555
1151,0.5356944444444445
1152,0.5323611111111112
1153,0.5323611111111112
1154,0.5323611111111112
1155,0.5323611111111112
1156,0.5245833333333333
1157,0.5245833333333333
1158,0.5256944444444445
1159,0.5190277777777778
1160,0.5134722222222222
1161,0.5212499999999999
1162,0.5145833333333334
1163,0.5145833333333334
1164,0.5268055555555555
1165,0.5201388888888888
1166,0.5123611111111112
1167,0.5140277777777778
1168,0.5129166666666667
1169,0.5129166666666667
1170,0.5129166666666667
1171,0.5118055555555556
1172,0.5029166666666667
1173,0.49736111111111114
1174,0.4918055555555555
1175,0.4918055555555555
1176,0.4918055555555555
1177,0.4906944444444445
1178,0.48513888888888895
1179,0.4829166666666667
1180,0.48625
1181,0.4818055555555556
1182,0.49819444444444444
1183,0.49152777777777773
1184,0.4993055555555555
1185,0.5070833333333333
1186,0.5070833333333333
1187,0.5081944444444445
1188,0.5059722222222223
1189,0.49930555555555567
1190,0.4959722222222222
1191,0.49930555555555556
1192,0.49486111111111114
1193,0.4926388888888889
1194,0.5015277777777778
1195,0.5004166666666666
1196,0.4970833333333334
1197,0.4759722222222223
1198,0.4748611111111111
1199,0.4748611111111111
1200,0.4763888888888889
1201,0.4752777777777778
1202,0.48305555555555557
1203,0.4919444444444444
1204,0.4930555555555555
1205,0.5063888888888889
1206,0.5022222222222222
1207,0.5022222222222222
1208,0.5152777777777778
1209,0.5230555555555556
1210,0.5230555555555556
1211,0.5186111111111111
1212,0.5208333333333333
1213,0.518611111111111
1214,0.5186111111111111
1215,0.5219444444444444
1216,0.5119444444444444
1217,0.5119444444444444
1218,0.5030555555555556
1219,0.5030555555555556
1220,0.4975
1221,0.5002777777777778
1222,0.5002777777777778
1223,0.5058333333333332
1224,0.5058333333333335
1225,0.5058333333333334
1226,0.5113888888888889
1227,0.5091666666666665
1228,0.5102777777777778
1229,0.5102777777777778
1230,0.5091666666666667
1231,0.5215277777777777
1232,0.5193055555555556
1233,0.5204166666666667
1234,0.502638888888889
1235,0.5062500000000001
1236,0.5020833333333333
1237,0.5020833333333333
1238,0.4909722222222223
1239,0.4965277777777778
1240,0.48763888888888896
1241,0.48875
1242,0.48875
1243,0.48652777777777784
1244,0.4887500000000001
1245,0.4898611111111112
1246,0.4931944444444445
1247,0.4944444444444444
1248,0.4899999999999999
1249,0.4899999999999999
1250,0.49
1251,0.4916666666666666
1252,0.4916666666666666
1253,0.49944444444444436
1254,0.49944444444444436
1255,0.5216666666666666
1256,0.5216666666666666
1257,0.5283333333333333
1258,0.5194444444444444
1259,0.5123015873015873
1260,0.5123015873015873
1261,0.5123015873015873
1262,0.5156349206349206
1263,0.508968253968254
1264,0.508968253968254
1265,0.5042460317460318
1266,0.48869047619047623
1267,0.48869047619047623
1268,0.48869047619047623
1269,0.48869047619047623
1270,0.5009126984126984
1271,0.5075793650793651
1272,0.5086904761904762
1273,0.506468253968254
1274,0.5064682539682539
1275,0.5064682539682539
1276,0.5086904761904761
1277,0.5186904761904763
1278,0.5220238095238096
1279,0.5120238095238094
1280,0.5131349206349206
1281,0.5131349206349206
1282,0.5131349206349206
1283,0.5098015873015873
1284,0.5109126984126984
1285,0.5142460317460317
1286,0.5198015873015872
1287,0.5198015873015873
1288,0.5296626984126983
1289,0.5296626984126983
1290,0.5229960317460317
1291,0.5196626984126984
1292,0.5341071428571429
1293,0.5296626984126984
1294,0.5349404761904762
1295,0.5349404761904762
1296,0.5391071428571429
1297,0.5457738095238096
1298,0.541329365079365
1299,0.5446626984126985
1300,0.5468849206349207
1301,0.5435515873015874
1302,0.5357738095238096
1303,0.5345238095238095
1304,0.5389682539682539
1305,0.5411904761904761
1306,0.5434126984126983
1307,0.5439682539682539
1308,0.5361904761904762
1309,0.5361904761904762
1310,0.5330158730158729
1311,0.533015873015873
1312,0.5307936507936507
1313,0.5152380952380952
1314,0.5041269841269841
1315,0.5146031746031746
1316,0.5146031746031746
1317,0.5123809523809524
1318,0.5101587301587303
1319,0.5034920634920635
1320,0.5068253968253968
1321,0.5068253968253968
1322,0.5034920634920635
1323,0.49349206349206354
1324,0.49238095238095236
1325,0.48238095238095247
1326,0.4801587301587302
1327,0.477936507936508
1328,0.477936507936508
1329,0.4712698412698413
1330,0.467936507936508
1331,0.4646031746031747
1332,0.4623809523809523
1333,0.4612698412698412
1334,0.45904761904761904
1335,0.457936507936508
1336,0.4646031746031746
1337,0.4646031746031746
1338,0.4568253968253969
1339,0.4457142857142858
1340,0.43126984126984125
1341,0.42126984126984135
1342,0.42126984126984124
1343,0.4257142857142857
1344,0.42460317460317454
1345,0.43682539682539684
1346,0.4268253968253969
1347,0.4179365079365079
1348,0.41126984126984134
1349,0.41126984126984134
1350,0.419047619047619
1351,0.4123809523809524
1352,0.4123809523809524
1353,0.4068253968253969
1354,0.40571428571428575
1355,0.4001587301587302
1356,0.40460317460317463
1357,0.4046031746031747
1358,0.4046031746031747
1359,0.41015873015873017
1360,0.41154761904761905
1361,0.40376984126984117
1362,0.4026587301587301
1363,0.4059920634920634
1364,0.39138888888888884
1365,0.3891666666666667
1366,0.39138888888888895
1367,0.39138888888888895
1368,0.3947222222222223
1369,0.39361111111111113
1370,0.3947222222222223
